Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a hasSpouse No,?a successor Albert_II_Duke_of_Austria,2,1.0,0.022727272727272728,2,1,88,?a
?c child ?b,Charles_IX_of_France child ?b,2,1.0,0.001670843776106934,2,1,1197,?b
?a parent Louis_Dauphin_of_France_son_of_Louis_XV,?a hasSpouse Yes,759,0.002635046113306983,1.0,2,1,2,?a
Louis_the_Pious successor ?a,?a hasSpouse No,1169,0.001710863986313088,0.6666666666666666,2,1,3,?a
Marie_de_Medici child ?b,Henry_IV_of_France child ?b,7,0.7142857142857143,0.8333333333333334,5,1,6,?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Theobald_I_of_Navarre spouse ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
Barbara_Jagiellon parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
?a predecessor ?c   ?d father ?c   ?d gender ?b,?a gender ?b,892,0.10201793721973094,0.8272727272727273,91,3,110,?a
Maria_Antonia_Ferdinanda_of_Spain parent ?a,?a hasSpouse Yes,759,0.002635046113306983,1.0,2,1,2,?a
?a parent Louis_I_Duke_of_Bourbon,"?a gender ""male""",485,0.004123711340206186,1.0,2,1,2,?a
Louis_VIII_of_France parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
?a child Louis_of_Cyprus,?a child Bona_of_Savoy,2,1.0,1.0,2,1,2,?a
?a hasSpouse Yes,?a parent Louis_II_of_Anjou,2,1.0,0.004796163069544364,2,1,417,?a
Peter_I_of_Portugal parent ?a,?a hasSpouse Yes,759,0.002635046113306983,1.0,2,1,2,?a
?a child Prince_Maurizio_Duke_of_Montferrat,?a child Maria_Anna_of_Savoy_Duchess_of_Chablais,2,1.0,1.0,2,1,2,?a
?b hasSpouse Yes,Albert_I_of_Germany child ?b,9,0.2222222222222222,0.002635046113306983,2,1,759,?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a child Christine_of_France,2,1.0,0.00468384074941452,2,1,427,?a
?a hasSpouse Yes,?a parent Catherine_de_Medici,4,0.5,0.004796163069544364,2,1,417,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a predecessor Charles_VII_Holy_Roman_Emperor,2,1.0,0.006578947368421052,2,1,304,?a
Charlotte_of_Bourbon_Queen_of_Cyprus parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
?b gender ?c,Maria_Teresa_Felicitas_d_Este parent ?b,2,1.0,0.002242152466367713,2,1,892,?b
?a child Peter_of_Aragon_Count_of_Alburquerque,?a child Alfonso_V_of_Aragon,2,1.0,1.0,2,1,2,?a
?a name ?c,?a child Patrick_Gordon_of_Auchindoun,2,1.0,0.006191950464396285,2,1,323,?a
?a gender ?c,?a child Margaret_of_Savoy_Countess_of_Saint_Pol,2,1.0,0.0060790273556231,2,1,329,?a
?c parent ?b,Margaret_of_Provence child ?b,8,0.25,0.0024630541871921183,2,1,812,?b
?a parent ?c,?a child Edward_III_of_England,2,1.0,0.005141388174807198,2,1,389,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a spouse Philip_VI_of_France,2,1.0,0.002600780234070221,2,1,769,?a
?a gender ?c,?a father Louis_VI_of_France,3,1.0,0.007009345794392523,3,1,428,?a
?b hasSpouse ?c,Violant_of_Hungary child ?b,3,0.6666666666666666,0.001037344398340249,2,1,1928,?b
?a successor Pepin_the_Short,?a hasSpouse No,1169,0.001710863986313088,1.0,2,1,2,?a
?b name ?c,Henry_Stuart_Lord_Darnley parent ?b,2,1.0,0.0034542314335060447,2,1,579,?b
?c father ?a,?a mother Mary_of_Avesnes,2,1.0,0.011428571428571429,2,1,175,?a
?b hasSpouse ?c,me_myself_i name ?b,0,0.0,0.0,0,1,1928,?b
?c spouse ?a,?a name John,2,1.0,0.005305039787798408,2,1,377,?a
?b parent ?c,Elisabeth_Farnese child ?b,5,0.4,0.0032258064516129032,2,1,620,?b
?a child Marie_Z_phyrine_of_France,?a child Louis_XVI,2,1.0,1.0,2,1,2,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Marie_of_Brittany_Countess_of_Saint_Pol,2,1.0,0.00468384074941452,2,1,427,?a
?c spouse ?b,Frederick_Prince_of_Wales parent ?b,2,1.0,0.002642007926023778,2,1,757,?b
?a child Carlo_Duke_of_Calabria,?a child Francis_I_of_the_Two_Sicilies,2,1.0,1.0,2,1,2,?a
?b hasSpouse ?c,Matilda_of_Scotland child ?b,2,1.0,0.001037344398340249,2,1,1928,?b
?a child ?c,?a father Ferdinand_I_Holy_Roman_Emperor,4,0.75,0.009708737864077669,3,1,309,?a
?b hasSpouse Yes,Peter_I_Duke_of_Bourbon parent ?b,2,1.0,0.002635046113306983,2,1,759,?b
?a successor French_Revolution_of_1848,?a hasSpouse Yes,759,0.002635046113306983,1.0,2,1,2,?a
?b parent ?c,Marie_de_Medici child ?b,6,0.5,0.004838709677419355,3,1,620,?b
?c parent ?a,?a child Charles_the_Simple,2,1.0,0.006309148264984227,2,1,317,?a
?c spouse ?a,?a parent Robert_II_of_France,3,0.6666666666666666,0.004672897196261682,2,1,428,?a
?a spouse ?c,?a successor Charles_the_Fat,3,0.6666666666666666,0.011428571428571429,2,1,175,?a
?c mother ?a   ?c name ?b,?a name ?b,585,0.0,0.0,0,2,128,?a
Louis_Count_of__vreux child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0011312217194570137,1.0,3,1,3,?a
?c predecessor ?a,?a mother Bonne_of_Luxembourg,3,0.6666666666666666,0.013888888888888888,2,1,144,?a
?c child ?b,James_I_of_Aragon child ?b,5,1.0,0.004177109440267335,5,1,1197,?b
?a name ?c,?a parent Peter_I_of_Portugal,2,1.0,0.004048582995951417,2,1,494,?a
Cosimo_I_de_Medici_Grand_Duke_of_Tuscany child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0030165912518853697,1.0,8,1,8,?a
?a spouse James_V_of_Scotland,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
Matilda_of_France child ?b,Conrad_I_of_Burgundy child ?b,3,1.0,1.0,3,1,3,?b
?c child ?a   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.35558069381598795,1.0,943,3,943,?a
?a father ?c,?a child Henrietta_Maria,2,1.0,0.006472491909385114,2,1,309,?a
?c spouse ?a,?a hasSpouse Yes,759,0.7812911725955204,1.0,593,1,593,?a
?a hasSpouse Yes,?a child Prince_Maurizio_Duke_of_Montferrat,2,1.0,0.006493506493506494,2,1,308,?a
?a spouse ?c,?a spouse Mary_of_Guise,2,1.0,0.002600780234070221,2,1,769,?a
?a gender ?c,?a name Charles_III,2,1.0,0.004454342984409799,2,1,449,?a
?a child ?c,?a child Maria_of_Austria_Duchess_of_J_lich_Cleves_Berg,2,1.0,0.00468384074941452,2,1,427,?a
Robert_I_Duke_of_Burgundy parent ?a,?a child Robert_I_Duke_of_Burgundy,2,1.0,1.0,2,1,2,?a
?c child ?a   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.36048265460030166,1.0,956,3,956,?a
?b hasSpouse No,Maria_Josepha_of_Austria child ?b,7,0.7142857142857143,0.00427715996578272,5,1,1169,?b
?a name ?c   ?b successor ?c,?a child ?b,1508,0.000663129973474801,0.06666666666666667,1,2,15,?a
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Charles_Emmanuel_I_Duke_of_Savoy parent ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Sancho_I_of_Portugal child ?b,7,1.0,0.0026395173453996985,7,1,2652,?b
?b mother ?c,Peter_I_of_Portugal child ?b,6,0.3333333333333333,0.004901960784313725,2,1,408,?b
?a successor ?c,?a name Charles_V,2,1.0,0.010526315789473684,2,1,190,?a
"?b gender ""male""",Joan_I_of_Navarre successor ?b,2,1.0,0.004123711340206186,2,1,485,?b
?c spouse ?b,Anna_of_Holstei_Gottorp parent ?b,2,1.0,0.002642007926023778,2,1,757,?b
?c parent ?b,Ferdinand_I_of_Aragon child ?b,6,0.3333333333333333,0.0024630541871921183,2,1,812,?b
?c child ?b,Ferdinand_Philippe_Duke_of_Orl_ans child ?b,2,1.0,0.001670843776106934,2,1,1197,?b
Ermengarde_of_Hesbaye child ?a,?a hasSpouse No,1169,0.001710863986313088,1.0,2,1,2,?a
?a name Henry_VII,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
?b gender ?c,Alfonso_XI_of_Castile child ?b,3,0.6666666666666666,0.002242152466367713,2,1,892,?b
?b name ?c,Maria_Beatrice_d_Este_Duchess_of_Massa child ?b,5,0.4,0.0034542314335060447,2,1,579,?b
?b spouse Richard_Count_of__tampes,Richard_Count_of__tampes spouse ?b,2,1.0,1.0,2,1,2,?b
