Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a father ?c   ?d spouse ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.12895927601809956,1.0,342,3,342,?a
?c father ?a   ?c hasSpouse ?d   ?b hasSpouse ?d,?a spouse ?b,865,0.20346820809248556,0.0011085217610379795,176,3,158770,?a
?c predecessor ?a   ?c predecessor ?b,?a child ?b,1508,0.0033156498673740055,0.021367521367521368,5,2,234,?a
?a father ?c   ?d spouse ?c   ?d gender ?b,?a gender ?b,892,0.09417040358744394,0.4077669902912621,84,3,206,?a
?c parent ?a   ?d mother ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.09917043740573152,1.0,263,3,263,?a
?c marriedTo ?a   ?c child ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.003393665158371041,1.0,9,3,9,?a
?c child ?a   ?c predecessor ?d   ?d gender ?b,?a gender ?b,892,0.05605381165919283,0.5208333333333334,50,3,96,?a
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a predecessor ?b,358,0.6229050279329609,0.00047240157947362176,223,3,472056,?a
?a predecessor ?c   ?c predecessor ?d   ?d mother ?b,?a parent ?b,946,0.005285412262156448,0.056179775280898875,5,3,89,?a
?c child ?a   ?c successor ?d   ?d parent ?b,?a parent ?b,946,0.1839323467230444,0.7160493827160493,174,3,243,?a
?a father ?c   ?d father ?c   ?b child ?d,?a parent ?b,946,0.3086680761099366,0.7704485488126649,292,3,379,?a
?c parent ?a   ?c parent ?d   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.3112033195020747,0.9966777408637874,600,3,602,?a
?a predecessor ?c   ?c spouse ?b,?a predecessor ?b,358,0.030726256983240222,0.041044776119402986,11,2,268,?a
?c mother ?a   ?b successor ?c,?a child ?b,1508,0.005968169761273209,0.10714285714285714,9,2,84,?a
?c successor ?a   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.07390648567119155,1.0,196,3,196,?a
?c predecessor ?a   ?b successor ?c,?a marriedTo ?b,15,0.06666666666666667,0.16666666666666666,1,2,6,?a
?a name ?c   ?c name ?b,?a father ?b,561,0.0,0.0,0,2,75,?a
?a mother ?c   ?c child ?d   ?b parent ?d,?a predecessor ?b,358,0.002793296089385475,0.012345679012345678,1,3,81,?a
?a spouse ?c   ?d father ?c   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.09387966804979253,0.905,181,3,200,?a
?c successor ?a   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.06787330316742081,1.0,180,3,180,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.6701902748414377,0.0006129868120818347,634,3,1034280,?a
?a successor ?c   ?d child ?c   ?d gender ?b,?a gender ?b,892,0.1210762331838565,0.6666666666666666,108,3,162,?a
?a hasSpouse ?c   ?d hasSpouse ?c   ?b parent ?d,?a mother ?b,408,0.2965686274509804,0.0009592288117454001,121,3,126143,?a
?a name ?c   ?c gender ?b,?a gender ?b,892,0.08856502242152467,1.0,79,2,79,?a
?a mother ?c   ?d mother ?c   ?b child ?d,?a father ?b,561,0.26737967914438504,0.5263157894736842,150,3,285,?a
?c father ?a   ?c predecessor ?b,?a spouse ?b,865,0.009248554913294798,0.055944055944055944,8,2,143,?a
?a predecessor ?c   ?c father ?d   ?b father ?d,?a successor ?b,354,0.025423728813559324,0.05263157894736842,9,3,171,?a
?a gender ?c   ?d gender ?c   ?d spouse ?b,?a father ?b,561,0.1497326203208556,0.0006337996287745032,84,3,132534,?a
?c predecessor ?a   ?b child ?c,?a predecessor ?b,358,0.04189944134078212,0.07894736842105263,15,2,190,?a
?a predecessor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a spouse ?b,865,0.24277456647398843,0.00047991224461812695,210,3,437580,?a
?a hasSpouse ?c   ?d hasSpouse ?c   ?d spouse ?b,?a child ?b,1508,0.15517241379310345,0.0012876953554919657,234,3,181720,?a
?c father ?a   ?d successor ?c   ?d spouse ?b,?a parent ?b,946,0.0021141649048625794,0.015037593984962405,2,3,133,?a
?a father ?c   ?b parent ?c,?a predecessor ?b,358,0.013966480446927373,0.026041666666666668,5,2,192,?a
?c parent ?a   ?b spouse ?c,?a spouse ?b,865,0.004624277456647399,0.007434944237918215,4,2,538,?a
?a mother ?c   ?c successor ?b,?a father ?b,561,0.0106951871657754,0.21428571428571427,6,2,28,?a
?c father ?a   ?d predecessor ?c   ?d successor ?b,?a child ?b,1508,0.004641909814323607,0.06796116504854369,7,3,103,?a
?a father ?c   ?c predecessor ?b,?a parent ?b,946,0.006342494714587738,0.02830188679245283,6,2,212,?a
?a parent ?c   ?d mother ?c   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.12863070539419086,0.9649805447470817,248,3,257,?a
?a father ?c   ?b father ?c,?a predecessor ?b,358,0.0111731843575419,0.01646090534979424,4,2,243,?a
