Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a mother ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.24324324324324326,0.4439461883408072,99,2,223,?a
?a name ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.6,0.6481069042316259,291,2,449,?a
"?a spouse ?c   ?c gender ""female""","?a gender ""male""",485,0.44742268041237115,0.9908675799086758,217,2,219,?a
?a spouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.5525773195876289,0.47602131438721135,268,2,563,?a
?a spouse ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.44742268041237115,0.47902869757174393,217,2,453,?a
?a father ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.5381443298969072,0.6098130841121495,261,2,428,?a
?a father ?c   ?c hasSpouse No,"?a gender ""male""",485,0.1134020618556701,0.7236842105263158,55,2,76,?a
?a father ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.30103092783505153,0.6160337552742616,146,2,237,?a
?a child ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.3649484536082474,0.5379939209726444,177,2,329,?a
?a child ?c   ?c hasSpouse No,"?a gender ""male""",485,0.2907216494845361,0.5300751879699248,141,2,266,?a
?a child ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.24742268041237114,0.5429864253393665,120,2,221,?a
"?a child ?c   ?c gender ""female""","?a gender ""male""",485,0.09896907216494845,0.39344262295081966,48,2,122,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.35876288659793815,0.5594855305466238,174,2,311,?a
"?a mother ?c   ?c gender ""female""","?a gender ""male""",485,0.31752577319587627,0.5923076923076923,154,2,260,?a
?a mother ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.2556701030927835,0.5560538116591929,124,2,223,?a
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.3319587628865979,0.875,161,2,184,?a
?a hasSpouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.7195876288659794,0.5419254658385093,349,2,644,?a
?a successor ?c   ?c hasSpouse No,"?a gender ""male""",485,0.11134020618556702,0.8571428571428571,54,2,63,?a
?a successor ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.1670103092783505,0.8709677419354839,81,2,93,?a
"?a successor ?c   ?c gender ""female""","?a gender ""male""",485,0.0288659793814433,0.6666666666666666,14,2,21,?a
?a predecessor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.31752577319587627,0.8953488372093024,154,2,172,?a
?a predecessor ?c   ?c hasSpouse No,"?a gender ""male""",485,0.1154639175257732,0.9333333333333333,56,2,60,?a
?a predecessor ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.18144329896907216,0.8888888888888888,88,2,99,?a
"?a parent ?c   ?c gender ""female""","?a gender ""male""",485,0.334020618556701,0.6254826254826255,162,2,259,?a
?a parent ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,0.5938144329896907,0.602510460251046,288,2,478,?a
?a parent ?c   ?c hasSpouse No,"?a gender ""male""",485,0.11752577319587629,0.6867469879518072,57,2,83,?a
?a parent ?c   ?c hasSpouse Yes,"?a gender ""male""",485,0.38969072164948454,0.5833333333333334,189,2,324,?a
?a spouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.28996983408748117,1.0,769,2,769,?a
?a name ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.21832579185520362,1.0,579,2,579,?a
?a parent ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.23378582202111614,1.0,620,2,620,?a
?a hasSpouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.726998491704374,1.0,1928,2,1928,?a
?a father ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.21153846153846154,1.0,561,2,561,?a
?a predecessor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.11463046757164404,1.0,304,2,304,?a
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.11726998491704374,1.0,311,2,311,?a
?a child ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.1610105580693816,1.0,427,2,427,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.15384615384615385,1.0,408,2,408,?a
"?a name ?c   ?c gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.023378582202111614,1.0,62,2,62,?a
?a name ?c   ?c hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.02526395173453997,1.0,67,2,67,?a
"?a parent ?c   ?c gender ""male""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.1583710407239819,1.0,420,2,420,?a
"?a parent ?c   ?c gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.12858220211161386,1.0,341,2,341,?a
?a parent ?c   ?c hasSpouse No,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.03733031674208145,1.0,99,2,99,?a
?a parent ?c   ?c hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.1625188536953243,1.0,431,2,431,?a
"?a father ?c   ?c gender ""male""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.1738310708898944,1.0,461,2,461,?a
?a father ?c   ?c hasSpouse No,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.03544494720965309,1.0,94,2,94,?a
?a father ?c   ?c hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.1165158371040724,1.0,309,2,309,?a
?a child ?c   ?c hasSpouse No,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.1334841628959276,1.0,354,2,354,?a
?a child ?c   ?c hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.10935143288084465,1.0,290,2,290,?a
"?a child ?c   ?c gender ""male""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.07013574660633484,1.0,186,2,186,?a
"?a child ?c   ?c gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.06297134238310709,1.0,167,2,167,?a
"?a mother ?c   ?c gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.1297134238310709,1.0,344,2,344,?a
?a mother ?c   ?c hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.11048265460030166,1.0,293,2,293,?a
?a successor ?c   ?c hasSpouse No,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.030542986425339366,1.0,81,2,81,?a
?a successor ?c   ?c hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.06749622926093514,1.0,179,2,179,?a
"?a successor ?c   ?c gender ""male""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.06485671191553545,1.0,172,2,172,?a
"?a successor ?c   ?c gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.010558069381598794,1.0,28,2,28,?a
"?a spouse ?c   ?c gender ""male""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.12707390648567118,1.0,337,2,337,?a
"?a spouse ?c   ?c gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.11199095022624435,1.0,297,2,297,?a
